Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-12-31,235.56,239.8,231.4,235.48,32375,527.0,61.43,32375.0
2025-01-01,235.48,239.45,232.05,236.81,38786,515.0,75.31,38786.0
2025-01-02,239.4,248.65,236.12,248.65,82081,671.0,122.33,82081.0
2025-01-03,255.9,261.08,248.5,261.03,102182,1049.0,97.41,102182.0
2025-01-06,261.0,263.0,247.97,247.97,122720,930.0,131.96,122720.0
2025-01-07,242.0,254.9,239.25,250.13,83202,751.0,110.79,83202.0
2025-01-08,250.5,250.5,240.0,245.47,41548,528.0,78.69,41548.0
2025-01-09,244.99,248.8,236.5,240.57,27429,513.0,53.47,27429.0
2025-01-10,240.57,242.0,231.0,235.28,40503,599.0,67.62,40503.0
2025-01-13,239.98,244.79,220.1,224.35,172734,2304.0,74.97,110827.0
2025-01-14,222.1,236.0,222.1,232.13,101660,2421.0,41.99,57063.0
2025-01-15,236.0,238.79,227.1,229.55,93085,2406.0,38.69,56096.0
2025-01-16,236.0,236.0,225.35,226.82,96636,2598.0,37.2,62673.0
2025-01-17,226.81,229.09,224.17,225.91,64017,1585.0,40.39,36960.0
2025-01-20,228.0,234.35,222.37,231.76,95791,2112.0,45.36,57869.0
2025-01-21,230.0,254.95,229.62,239.28,399496,9269.0,43.1,144018.0
2025-01-22,240.05,243.5,225.0,229.25,180285,3897.0,46.26,96802.0
2025-01-23,223.1,224.88,198.51,208.78,1019299,14171.0,71.93,508432.0
2025-01-24,208.78,211.0,200.0,201.55,179701,4438.0,40.49,87400.0
2025-01-27,201.55,201.55,185.55,188.89,233620,6860.0,34.06,127258.0
2025-01-28,191.7,191.7,178.2,185.35,203266,5957.0,34.12,111280.0
2025-01-29,187.0,195.0,185.95,193.69,123412,4056.0,30.43,71079.0
2025-01-30,196.6,201.5,191.05,193.31,327831,6125.0,53.52,75323.0
2025-01-31,196.2,204.95,190.55,203.79,177311,5303.0,33.44,88132.0
2025-02-01,202.95,208.0,200.0,202.35,93434,2889.0,32.34,41430.0
2025-02-03,203.98,203.98,195.55,197.5,86582,2899.0,29.87,49044.0
2025-02-04,197.5,205.0,195.0,196.76,103124,3403.0,30.3,63089.0
2025-02-05,197.75,201.19,194.5,195.41,84507,3719.0,22.72,49731.0
2025-02-06,195.0,198.0,189.39,190.16,139912,3353.0,41.73,91793.0
2025-02-07,191.15,191.15,182.9,183.66,148596,4791.0,31.02,96000.0
2025-02-10,186.94,186.94,175.06,176.94,207422,4569.0,45.4,143895.0
2025-02-11,176.44,177.99,167.41,168.42,207691,4992.0,41.6,138345.0
2025-02-12,171.0,176.94,158.2,171.14,203986,7972.0,25.59,88729.0
2025-02-13,171.45,178.78,170.01,173.53,112430,4329.0,25.97,58822.0
2025-02-14,172.81,174.04,165.36,170.39,151387,4822.0,31.4,80937.0
2025-02-17,166.25,173.58,164.62,170.61,89141,3867.0,23.05,45700.0
2025-02-18,169.23,171.31,164.18,167.67,80277,2559.0,31.37,55490.0
2025-02-19,165.9,182.5,162.01,180.32,146902,5196.0,28.27,76040.0
2025-02-20,178.4,186.78,176.99,183.5,95561,2969.0,32.19,44396.0
2025-02-21,184.0,189.58,182.36,183.39,120705,8284.0,14.57,62333.0
